city,postcode,living_space,rooms,rent,description,year_built,floor,rent_per_sqm,scam_label,city_tier
Nuremberg,90429,123.8,3.8,1193.0,"Quiet neighborhood, perfect for families.",1973,8,9.64,0,3
Hamburg,20148,71.1,2.0,1045.0,Green surroundings with garden access.,2000,1,14.7,0,2
Stuttgart,70188,48.8,1.8,807.0,Moderne Wohnung mit Fußbodenheizung.,1956,2,16.54,0,1
Frankfurt,60322,33.9,1.4,725.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1910,1,21.39,0,1
Berlin,10179,47.9,1.4,558.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1966,6,11.65,0,2
Hamburg,20146,32.2,1.4,640.0,Bright apartment with great views of the city.,2009,7,19.88,0,2
Hamburg,20148,52.4,1.6,829.0,Altbauwohnung mit hohen Decken und Parkettboden.,1925,1,15.82,0,2
Cologne,50668,132.1,4.5,1443.0,"Quiet neighborhood, perfect for families.",1954,5,10.92,0,2
Essen,45128,102.7,3.3,878.0,Frisch saniert mit neuer Küche und Bad.,2001,7,8.55,0,4
Dresden,01127,149.6,5.0,1297.0,Bright apartment with great views of the city.,1951,6,8.67,0,3
Cologne,50672,87.0,2.9,1699.0,Green surroundings with garden access.,2020,5,19.53,0,2
Stuttgart,70180,34.7,1.5,464.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1931,4,13.37,0,1
Cologne,50667,34.6,1.4,434.0,Bright apartment with great views of the city.,1911,3,12.54,0,2
Hannover,30163,55.8,1.6,533.0,Altbauwohnung mit hohen Decken und Parkettboden.,1943,1,9.55,0,3
Frankfurt,60322,101.1,3.6,1561.0,Sonnige Südausrichtung mit großer Terrasse.,1912,3,15.44,0,1
Nuremberg,90429,104.1,3.5,1768.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",2005,1,16.98,0,3
Stuttgart,70188,146.7,4.7,1658.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1911,1,11.3,0,1
Cologne,50670,144.7,4.8,2117.0,Newly built apartment with underground parking.,1932,1,14.63,0,2
Nuremberg,90419,99.6,2.9,1159.0,Green surroundings with garden access.,2001,6,11.64,0,3
Essen,45133,143.7,4.5,1246.0,Sonnige Südausrichtung mit großer Terrasse.,1912,6,8.67,0,4
Hamburg,20099,53.7,1.7,737.0,Newly built apartment with underground parking.,2019,3,13.72,0,2
Cologne,50672,77.2,2.3,1162.0,Moderne Wohnung mit Fußbodenheizung.,1918,2,15.05,0,2
Berlin,10178,39.6,1.6,598.0,Green surroundings with garden access.,2023,2,15.1,0,2
Frankfurt,60313,140.4,4.8,3176.0,Close to university and city center.,1961,8,22.62,0,1
Hamburg,20146,82.3,2.8,656.0,I won the lottery and leaving Germany. Quick decision needed.,1940,2,7.97,1,2
Munich,80331,107.1,3.9,1785.0,Well-maintained building with elevator.,1926,5,16.67,0,1
Hannover,30161,110.6,3.8,1165.0,Bright apartment with great views of the city.,2014,0,10.53,0,3
Hamburg,20097,60.7,1.7,936.0,Frisch saniert mit neuer Küche und Bad.,1995,4,15.42,0,2
Stuttgart,70180,110.9,4.1,674.0,"Cannot meet in person, will send keys by mail after payment.",2005,0,6.07,1,1
Nuremberg,90429,45.7,1.7,643.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1974,3,14.07,0,3
Dresden,01067,140.8,4.5,1381.0,"Quiet neighborhood, perfect for families.",2016,5,9.81,0,3
Munich,80539,57.1,2.0,1241.0,Well-maintained building with elevator.,2002,2,21.73,0,1
Frankfurt,60313,32.0,1.3,167.0,Payment required before viewing. Keys will be mailed to you.,1962,6,5.22,1,1
Leipzig,04105,127.5,4.6,545.0,"I am currently abroad, please send deposit via Western Union before viewing.",1905,5,4.27,1,3
Berlin,10115,28.6,1.0,539.0,Sonnige Südausrichtung mit großer Terrasse.,1912,4,18.85,0,2
Frankfurt,60318,106.4,3.5,2339.0,Newly built apartment with underground parking.,2024,4,21.98,0,1
Frankfurt,60318,65.6,2.5,1933.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1920,5,29.46,0,1
Stuttgart,70173,102.0,3.0,632.0,"Cannot meet in person, will send keys by mail after payment.",2005,4,6.2,1,1
Duisburg,47053,147.3,4.9,363.0,Too good to be true? It's real! Just send deposit first.,1964,1,2.46,1,4
Essen,45133,131.7,4.3,724.0,Sonnige Südausrichtung mit großer Terrasse.,1917,7,5.5,0,4
Munich,80331,25.5,1.3,1032.0,Bright apartment with great views of the city.,1962,0,40.47,0,1
Stuttgart,70173,41.5,1.3,1127.0,Altbauwohnung mit hohen Decken und Parkettboden.,1968,8,27.15,0,1
Düsseldorf,40217,76.9,2.5,1299.0,"Quiet neighborhood, perfect for families.",1952,7,16.89,0,2
Cologne,50674,145.4,5.3,1805.0,Close to university and city center.,1955,5,12.41,0,2
Essen,45134,67.3,2.7,439.0,Sonnige Südausrichtung mit großer Terrasse.,2003,2,6.52,0,4
Duisburg,47051,76.4,2.5,717.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1933,8,9.38,0,4
Stuttgart,70180,38.1,1.0,1094.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1982,2,28.71,0,1
Munich,80333,69.8,2.8,656.0,Payment required before viewing. Keys will be mailed to you.,1918,4,9.39,1,1
Dresden,01069,131.7,4.3,1013.0,Modern renovated apartment near public transport.,1948,8,7.69,0,3
Dortmund,44141,118.2,3.5,832.0,Modern renovated apartment near public transport.,1983,8,7.04,0,4
Munich,81667,36.1,1.2,251.0,Sehr günstig wegen Umzug ins Ausland. Kaution vorab überweisen.,2005,8,6.96,1,1
Dortmund,44135,107.4,3.9,436.0,I won the lottery and leaving Germany. Quick decision needed.,1962,5,4.06,1,4
Cologne,50674,91.7,3.0,1280.0,Altbauwohnung mit hohen Decken und Parkettboden.,2000,5,13.96,0,2
Dortmund,44135,37.7,1.6,233.0,Moderne Wohnung mit Fußbodenheizung.,1917,3,6.18,0,4
Dortmund,44135,82.6,2.9,780.0,Bright apartment with great views of the city.,1969,1,9.44,0,4
Berlin,10119,74.9,2.0,1101.0,Sonnige Südausrichtung mit großer Terrasse.,1973,6,14.7,0,2
Stuttgart,70178,51.8,2.1,925.0,Newly built apartment with underground parking.,1982,8,17.86,0,1
Leipzig,04177,116.5,4.3,629.0,Well-maintained building with elevator.,1914,2,5.4,0,3
Berlin,10115,27.8,1.0,279.0,Newly built apartment with underground parking.,1913,2,10.04,0,2
Dresden,01069,98.9,3.1,1120.0,Altbauwohnung mit hohen Decken und Parkettboden.,2024,6,11.32,0,3
Frankfurt,60316,57.3,1.6,1194.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1937,2,20.84,0,1
Essen,45133,122.3,3.6,363.0,Sehr günstig wegen Umzug ins Ausland. Kaution vorab überweisen.,1900,6,2.97,1,4
Hamburg,20148,131.3,4.2,673.0,Keine Besichtigung möglich. Schlüssel werden nach Zahlung geschickt.,2008,3,5.13,1,2
Duisburg,47055,109.7,3.2,739.0,Bright apartment with great views of the city.,1991,0,6.74,0,4
Berlin,10119,32.9,1.1,384.0,Sonnige Südausrichtung mit großer Terrasse.,1993,8,11.67,0,2
Düsseldorf,40215,141.4,4.4,2673.0,Well-maintained building with elevator.,2021,7,18.9,0,2
Essen,45130,107.2,3.5,1110.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1954,6,10.36,0,4
Nuremberg,90402,108.6,3.3,1517.0,"Quiet neighborhood, perfect for families.",1998,8,13.97,0,3
Berlin,10243,33.4,1.0,1002.0,Bright apartment with great views of the city.,1976,0,30.01,0,2
Leipzig,04109,34.3,1.5,127.0,Keine Besichtigung möglich. Schlüssel werden nach Zahlung geschickt.,1964,1,3.7,1,3
Hannover,30169,113.9,4.0,1409.0,Altbauwohnung mit hohen Decken und Parkettboden.,1994,5,12.37,0,3
Hannover,30159,55.0,1.4,488.0,Bright apartment with great views of the city.,1932,4,8.87,0,3
Essen,45134,144.8,5.0,1109.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",2014,2,7.66,0,4
Dresden,01099,120.2,3.8,950.0,Frisch saniert mit neuer Küche und Bad.,1993,0,7.9,0,3
Dresden,01099,93.9,2.9,860.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1911,1,9.16,0,3
Berlin,10119,135.2,4.3,1486.0,Sonnige Südausrichtung mit großer Terrasse.,2008,4,10.99,0,2
Düsseldorf,40219,41.0,1.0,605.0,Newly built apartment with underground parking.,1902,5,14.76,0,2
Berlin,10119,129.0,4.4,1876.0,"Quiet neighborhood, perfect for families.",1956,3,14.54,0,2
Hamburg,20144,134.7,4.4,2468.0,Moderne Wohnung mit Fußbodenheizung.,1994,8,18.32,0,2
Munich,81667,126.9,4.1,2793.0,Altbauwohnung mit hohen Decken und Parkettboden.,1972,0,22.01,0,1
Hannover,30159,39.7,1.0,714.0,Altbauwohnung mit hohen Decken und Parkettboden.,2005,7,17.99,0,3
Düsseldorf,40211,108.2,3.7,1240.0,Moderne Wohnung mit Fußbodenheizung.,1929,2,11.46,0,2
Essen,45130,109.1,3.4,1208.0,"Quiet neighborhood, perfect for families.",1935,6,11.07,0,4
Duisburg,47057,128.5,4.2,1093.0,"Quiet neighborhood, perfect for families.",2022,2,8.51,0,4
Cologne,50670,113.4,3.9,1543.0,Well-maintained building with elevator.,1925,7,13.61,0,2
Düsseldorf,40215,62.4,2.5,1018.0,Modern renovated apartment near public transport.,2019,4,16.31,0,2
Munich,80331,116.6,4.1,2300.0,"Quiet neighborhood, perfect for families.",1981,7,19.73,0,1
Munich,80335,39.9,1.6,1147.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1964,5,28.75,0,1
Hannover,30161,55.0,1.3,417.0,"Cannot meet in person, will send keys by mail after payment.",2017,4,7.58,1,3
